Discharge Time (s),Voltage (V)
448,3.996369
449,3.995922
450,3.995967
451,3.996816
452,3.997085
453,3.997979
454,3.997755
455,3.9979785000000003
456,3.998202
457,3.998739
458,3.995117
459,3.998336
460,3.995162
461,3.994938
462,3.99543
463,3.996637
464,3.99695
465,3.997353
466,3.9977555000000002
467,3.998158
468,3.9978
469,3.996637
470,3.99543
471,3.996325
472,3.996101
473,3.997129
474,3.998292
475,3.997263
476,3.996637
477,3.9964135
478,3.99619
479,3.997934
480,3.996325
481,3.995698
482,3.995833
483,3.995743
484,3.99476
485,3.998202
486,3.999007
487,3.99771
488,3.9973975
489,3.997085
490,3.996637
491,3.996056
492,3.995475
493,3.99476
494,3.995073
495,3.99476
496,3.994849
497,3.996369
498,3.995833
499,3.9967045
500,3.997576
501,3.997219
502,3.994804
503,3.995117
504,3.995296
505,3.993463
506,3.995654
507,3.997353
508,3.996145
509,3.995475
510,3.995475
511,3.995475
512,3.993463
513,3.994491
514,3.995475
515,3.994089
516,3.994357
517,3.994089
518,3.995877
519,3.995385
520,3.994804
521,3.99619
522,3.997576
523,3.993642
524,3.994804
525,3.994581
526,3.993374
527,3.99239
528,3.994894
529,3.994804
530,3.995833
531,3.9957655
532,3.995698
533,3.994491
534,3.993999
535,3.992077
536,3.995028
537,3.993999
538,3.993731
539,3.995162
540,3.99467
541,3.994223
542,3.994424
543,3.994625
544,3.995117
545,3.993463
546,3.992301
547,3.993105
548,3.995117
549,3.992122
550,3.995028
551,3.995385
552,3.994715
553,3.9941785
554,3.993642
555,3.99543
556,3.994223
557,3.993508
558,3.992122
559,3.992479
560,3.991674
561,3.994581
562,3.993686
563,3.994223
564,3.9951619999999997
565,3.996101
566,3.994447
567,3.991719
568,3.992166
569,3.993597
570,3.99239
571,3.992882
572,3.993731
573,3.994447
574,3.993195
575,3.993195
576,3.993195
577,3.993955
578,3.990825
579,3.99163
580,3.992211
581,3.992703
582,3.991138
583,3.994178
584,3.993955
585,3.994715
586,3.9944914999999996
587,3.994268
588,3.995609
589,3.992614
590,3.992122
591,3.990378
592,3.992166
593,3.991674
594,3.993955
595,3.992926
596,3.992792
597,3.9929935
598,3.993195
599,3.994268
600,3.992301
601,3.992122
602,3.991496
603,3.992345
604,3.993731
605,3.993508
606,3.993061
607,3.993061
608,3.9921439999999997
609,3.991227
610,3.991809
611,3.989841
612,3.989975
613,3.990423
614,3.991451
615,3.992301
616,3.993374
617,3.991987
618,3.9930155000000003
619,3.994044
620,3.993195
621,3.99078
622,3.989931
623,3.991585
624,3.991406
625,3.991809
626,3.991987
627,3.991317
628,3.993195
629,3.9931055
630,3.993016
631,3.991362
632,3.990467
633,3.991227
634,3.990288
635,3.989797
636,3.989975
637,3.993239
638,3.992882
639,3.991362
640,3.9915855000000002
641,3.991809
642,3.991674
