Voltage (V),Current (A),Power (W),Resistance (Ω),Capacity used (mAh),Discharge Time (s)
4.182142,0.0,0.0,0.0,0,-5
4.183393,0.0,0.0,0.0,0,-4
4.182365,0.0,0.0,0.0,0,-3
4.181516,0.0,0.0,0.0,0,-2
4.180488,0.0,0.0,0.0,0,-1
4.092408,6.869499,29.676052,0.527528,0,0
3.936591,7.498699,29.501148,0.524688,2,1
3.926889,7.499284,29.43305,0.523299,4,2
3.917544,7.498026,29.371824,0.522284,6,3
3.911016,7.498224,29.321321,0.521352,8,4
3.904086,7.498034,29.268536,0.520729,10,5
3.899302,7.497987,29.237938,0.519928,12,6
3.894161,7.498635,29.21154,0.519495,14,7
3.892193,7.497884,29.185392,0.519033,16,8
3.887767,7.498161,29.160294,0.518684,18,9
3.886448,7.498141,29.139918,0.518432,19,10
3.885129,7.498121,29.119541,0.51818,20,11
3.881731,7.498628,29.104334,0.517468,24,12
3.877171,7.498469,29.084673,0.517166,27,13
3.874398,7.498422,29.028641,0.516517,29,14
3.869749,7.498271,29.00725,0.516012,31,15
3.867334,7.498588,28.986618,0.515818,33,16
3.865188,7.498382,28.966534,0.515314,35,17
3.859152,7.498145,28.928831,0.514713,37,18
3.857319,7.498628,28.923197,0.514449,39,19
3.857811,7.498983,28.925026,0.514557,41,20
3.856201,7.499054,28.90814,0.51418,43,21
3.854412,7.498627,28.893464,0.51396,45,22
3.852624,7.4982,28.878788,0.51374,47,23
3.850702,7.498596,28.87187,0.513494,49,24
3.848466,7.498936,28.878483,0.513347,52,25
3.844621,7.497702,28.812929,0.512505,54,26
3.842296,7.498066,28.815605,0.512328,56,27
3.842565,7.49877,28.803602,0.512246,58,28
3.838228,7.497955,28.789677,0.512155,60,29
3.836305,7.498366,28.774738,0.5119,62,30
3.837065,7.498667,28.77342,0.511667,64,31
3.834696,7.498572,28.762877,0.511577,66,32
3.834383,7.498572,28.756762,0.511374,68,33
3.834069,7.498572,28.750647,0.511172,70,34
3.8317,7.499071,28.731539,0.51104,72,35
3.829733,7.498382,28.713055,0.510529,74,36
3.82857,7.497931,28.703882,0.51049,77,37
3.826648,7.497623,28.690105,0.51014,79,38
3.825217,7.49824,28.679928,0.510175,81,39
3.823697,7.498785,28.665224,0.509677,83,40
3.821104,7.498168,28.66049,0.509769,85,41
3.821238,7.49877,28.661051,0.509689,87,42
3.821238,7.49858,28.651299,0.509466,89,43
3.82003,7.498481,28.649266,0.509354,91,44
3.818823,7.498382,28.647232,0.509242,93,45
3.817437,7.49843,28.636761,0.509408,95,46
3.817348,7.498809,28.620689,0.509083,97,47
3.812072,7.49805,28.582747,0.508492,99,48
3.812474,7.49809,28.576775,0.508548,102,49
3.812206,7.498454,28.580076,0.508512,104,50
3.810775,7.498556,28.574465,0.508255,106,51
3.809389,7.497979,28.569416,0.508191,108,52
3.811401,7.498232,28.579363,0.508333,110,53
3.810105,7.49858,28.567339,0.508167,112,54
3.808898,7.498604,28.55944,0.50801,114,55
3.80769,7.498628,28.55154,0.507853,116,56
3.806975,7.498366,28.538412,0.507579,118,57
3.807333,7.498343,28.545231,0.507291,120,58
3.803309,7.498651,28.528114,0.507325,122,59
3.802638,7.49809,28.515524,0.507133,124,60
