Voltage (V),Current (A),Power (W),Resistance (Ω),Capacity used (mAh),Discharge Time (s)
4.182812,0.0,0.0,0.0,0,-5
4.182991,0.0,0.0,0.0,0,-4
4.184601,0.0,0.0,0.0,0,-3
4.183751,0.0,0.0,0.0,0,-2
4.182902,0.0,0.0,0.0,0,-1
4.174854,0.815712,4.139871,4.169036,0,0
4.151202,0.997074,4.13866,4.163114,0,1
4.150129,0.99732,4.1406,4.163848,0,2
4.149682,0.997264,4.139689,4.161944,0,3
4.15071,0.997177,4.140127,4.161937,1,4
4.149101,0.997723,4.137794,4.160497,1,5
4.150129,0.997596,4.139941,4.160109,1,6
4.146686,0.997256,4.139372,4.157674,1,7
4.145524,0.997161,4.131251,4.157074,2,8
4.145077,0.997335,4.132479,4.15576,2,9
4.144473,0.99703,4.131763,4.156648,2,10
4.143869,0.996726,4.131047,4.157537,3,11
4.143154,0.997106,4.131979,4.156257,3,12
4.144763,0.997027,4.132225,4.15386,3,13
4.143601,0.997114,4.133495,4.154337,3,14
4.143243,0.997153,4.133756,4.154669,4,15
4.143288,0.997272,4.133223,4.155555,4,16
4.142707,0.997383,4.131438,4.152034,4,17
4.14226,0.997501,4.130019,4.152837,4,18
4.139622,0.997169,4.128036,4.150652,5,19
4.139577,0.997296,4.128285,4.15189,5,20
4.139309,0.997209,4.127446,4.152106,6,21
4.139041,0.997122,4.126606,4.152322,6,22
4.138906,0.997059,4.126019,4.149922,6,23
4.137386,0.996995,4.126746,4.151446,6,24
4.140114,0.99728,4.129659,4.149619,6,25
4.138012,0.997114,4.127136,4.149713,7,26
4.139488,0.99762,4.129167,4.149695,7,27
4.13913,0.997399,4.127596,4.148344,7,28
4.137208,0.997422,4.126326,4.148889,8,29
4.136805,0.996877,4.125461,4.1466,8,30
4.13448,0.996877,4.123885,4.146154,8,31
4.134972,0.996889,4.123106,4.146857,8,32
4.135464,0.9969,4.122327,4.14756,9,33
4.134033,0.996892,4.122673,4.143659,9,34
4.134301,0.996979,4.120117,4.144364,9,35
4.132647,0.997272,4.123136,4.146923,9,36
4.135643,0.997573,4.124474,4.146579,10,37
4.134436,0.997304,4.12167,4.146136,10,38
4.135017,0.99747,4.125497,4.144848,10,39
4.134391,0.997407,4.121249,4.145129,11,40
4.131306,0.996758,4.118366,4.143727,11,41
4.133139,0.997248,4.120603,4.144259,11,42
4.130009,0.996813,4.119445,4.144014,11,43
4.130099,0.996924,4.11873,4.144272,12,44
4.130188,0.997035,4.118015,4.144531,12,45
4.130367,0.997051,4.119417,4.139727,12,46
4.131038,0.997051,4.117371,4.141293,13,47
4.131082,0.997391,4.120731,4.142147,13,48
4.130724,0.997312,4.120749,4.144469,13,49
4.130814,0.997517,4.119494,4.142741,13,50
4.12992,0.997541,4.120597,4.142699,14,51
4.130188,0.997438,4.121067,4.138231,14,52
4.128087,0.997691,4.116962,4.141194,14,53
4.127819,0.996948,4.116155,4.139654,14,54
4.127729,0.997189,4.117111,4.139983,14,55
4.127639,0.99743,4.118067,4.140313,15,56
4.126656,0.99709,4.113306,4.139796,15,57
4.127953,0.996964,4.113767,4.141759,16,58
4.127014,0.99762,4.11704,4.140547,16,59
4.127819,0.99732,4.117392,4.138879,16,60
4.127997,0.99747,4.115886,4.1408,16,61
4.126522,0.997138,4.115205,4.140654,17,62
4.128489,0.99777,4.119715,4.137877,17,63
4.126298,0.99743,4.116848,4.136635,17,64
4.125717,0.997122,4.113255,4.136824,18,65
4.124063,0.99713,4.112675,4.137317,18,66
4.124488,0.997082,4.112621,4.137027,18,67
4.124912,0.997035,4.112566,4.136737,18,68
4.124555,0.997446,4.11203,4.135017,19,69
4.124241,0.996718,4.110772,4.134975,19,70
4.124376,0.997193,4.116526,4.135083,19,71
4.124733,0.997106,4.115389,4.135836,19,72
4.125091,0.997857,4.115668,4.136024,20,73
4.123839,0.997248,4.116027,4.135766,20,74
4.124957,0.997161,4.111983,4.136703,20,75
4.124286,0.997335,4.111188,4.133302,21,76
4.122498,0.996782,4.109171,4.134437,21,77
4.123079,0.996987,4.108647,4.134247,21,78
4.122945,0.996952,4.108863,4.133485,22,79
4.122811,0.996916,4.109078,4.132723,22,80
4.121782,0.997248,4.110151,4.133317,22,81
4.122766,0.997193,4.110101,4.132472,22,82
4.122051,0.997897,4.114494,4.133721,22,83
4.121559,0.997581,4.111808,4.133238,23,84
4.122364,0.997573,4.110515,4.132564,23,85
4.122051,0.996821,4.111496,4.132838,23,86
4.123168,0.997755,4.113109,4.132566,24,87
4.121425,0.996916,4.108203,4.133481,24,88
4.119502,0.99728,4.105568,4.131666,24,89
4.119838,0.996995,4.107062,4.131045,24,90
4.120173,0.99671,4.108556,4.130424,25,91
4.119323,0.997248,4.108214,4.130286,25,92
4.119278,0.997059,4.106408,4.130692,25,93
4.120977,0.997541,4.110239,4.131052,26,94
4.120441,0.997675,4.110374,4.128868,26,95
4.120217,0.997462,4.109971,4.130243,26,96
4.119637,0.997383,4.109323,4.12868,26,97
4.11901,0.997399,4.109808,4.128802,27,98
4.118161,0.997383,4.103782,4.129399,27,99
4.119323,0.997019,4.105269,4.130317,27,100
4.119055,0.997019,4.105271,4.130751,28,101
4.118787,0.997019,4.105274,4.131186,28,102
4.117311,0.996948,4.106311,4.127347,28,103
4.116373,0.996908,4.104185,4.127474,28,104
4.119905,0.997755,4.108837,4.128328,29,105
4.117937,0.997391,4.107831,4.126091,29,106
4.116998,0.997652,4.106524,4.128851,29,107
4.11825,0.997826,4.107956,4.128483,29,108
4.117445,0.997494,4.105954,4.126886,30,109
4.116015,0.997367,4.102262,4.126189,30,110
4.114316,0.997217,4.100664,4.129099,30,111
4.114674,0.99709,4.101735,4.126412,31,112
4.113824,0.997193,4.102394,4.126162,31,113
4.112975,0.997296,4.103053,4.125911,31,114
4.113421,0.997074,4.101653,4.127474,31,115
4.115344,0.997082,4.105111,4.126352,32,116
4.115613,0.997573,4.106758,4.125514,32,117
4.116149,0.997478,4.104003,4.12848,32,118
