Voltage (V),Current (A),Power (W),Resistance (Ω),Capacity used (mAh),Discharge Time (s)
4.185451,0.0,0.0,0.0,0,-5
4.183662,0.0,0.0,0.0,0,-4
4.18393,0.0,0.0,0.0,0,-3
4.18402,0.0,0.0,0.0,0,-2
4.183796,0.0,0.0,0.0,0,-1
4.12831,2.997978,12.263324,1.364662,0,0
4.083197,2.998532,12.243523,1.362095,0,1
4.07971,2.99729,12.229476,1.359541,1,2
4.074702,2.99854,12.222875,1.359497,2,3
4.07269,2.99901,12.20784,1.358164,3,4
4.070678,2.999481,12.192806,1.356831,4,5
4.065089,2.996974,12.185839,1.356179,4,6
4.063211,2.997575,12.180479,1.355624,5,7
4.061423,2.998413,12.176229,1.353912,6,8
4.059903,2.997586,12.170266,1.354271,7,9
4.058383,2.99676,12.164304,1.354629,8,10
4.056907,2.998263,12.17273,1.354087,9,11
4.057936,2.997804,12.171048,1.35458,9,12
4.055343,2.997235,12.152093,1.352546,10,13
4.053912,2.998263,12.153039,1.352377,11,14
4.052347,2.997844,12.147623,1.352293,12,15
4.052839,2.996088,12.143203,1.351315,13,16
4.048278,2.998738,12.131095,1.350351,14,17
4.047741,2.998184,12.132366,1.349597,14,18
4.044836,2.998382,12.131148,1.349349,15,19
4.044299,2.99742,12.126276,1.34934,16,20
4.043762,2.996459,12.121405,1.349332,17,21
4.043718,2.997416,12.124524,1.349972,18,22
4.043852,2.997678,12.125134,1.349205,19,23
4.041884,2.998619,12.126041,1.348781,19,24
4.041706,2.997796,12.122759,1.347096,20,25
4.041124,2.998674,12.117337,1.347802,21,26
4.040633,2.997377,12.107285,1.346057,22,27
4.035625,2.998674,12.103881,1.346125,23,28
4.035759,2.999339,12.095282,1.346541,24,29
4.034865,2.998413,12.094861,1.345168,24,30
4.03377,2.9981,12.093806,1.345,25,31
4.032674,2.997788,12.092752,1.344833,26,32
4.033658,2.996926,12.093896,1.345781,27,33
4.034507,2.999268,12.096251,1.34578,28,34
4.033345,2.998113,12.090214,1.345245,29,35
4.031065,2.997393,12.088451,1.343851,29,36
4.030617,2.998144,12.087412,1.344532,30,37
4.027622,2.998302,12.072435,1.343095,31,38
4.02628,2.997519,12.068981,1.342579,32,39
4.024939,2.998429,12.066081,1.343543,33,40
4.024939,2.995929,12.059279,1.34286,34,41
4.02447,2.996736,12.060802,1.342664,34,42
4.024,2.997543,12.062325,1.342469,35,43
4.025029,2.997591,12.069984,1.342661,36,44
4.023777,2.998769,12.061615,1.341993,37,45
4.024224,2.998342,12.062359,1.341982,38,46
4.021899,2.998548,12.056399,1.341465,39,47
4.021094,2.997361,12.053201,1.341627,39,48
4.019037,2.996681,12.053013,1.342242,40,49
4.016936,2.997741,12.042823,1.34068,41,50
4.018322,2.99797,12.043844,1.340113,42,51
4.017428,2.998354,12.040392,1.33997,42,52
4.016534,2.998738,12.03694,1.339826,43,53
4.016623,2.997678,12.041656,1.340054,44,54
4.018188,2.998105,12.040802,1.339948,45,55
4.016355,2.997061,12.042931,1.339708,46,56
4.015416,2.997432,12.044763,1.33912,47,57
4.01546,2.998192,12.034118,1.339215,48,58
4.013449,2.997765,12.040553,1.338857,49,59
4.011079,2.997551,12.026531,1.338252,49,60
4.0109,2.998034,12.021344,1.338256,50,61
4.00947,2.997282,12.023572,1.337916,51,62
4.009917,2.996808,12.02257,1.338052,52,63
4.010364,2.996333,12.021568,1.338189,53,64
4.008217,2.998492,12.020616,1.338176,54,65
4.010587,2.998018,12.019589,1.337303,54,66
4.009693,2.999085,12.024035,1.338853,55,67
4.009201,2.998888,12.022505,1.336448,56,68
4.007144,2.998769,12.015945,1.337713,57,69
4.008083,2.998405,12.012292,1.336489,58,70
4.004462,2.997155,12.006233,1.335981,59,71
4.005848,2.998556,12.001895,1.336249,59,72
4.004596,2.997116,12.001697,1.336034,60,73
4.004172,2.99746,12.002672,1.335832,61,74
4.003747,2.997804,12.003648,1.335631,62,75
4.003612,2.99729,11.992472,1.335402,63,76
4.004014,2.998136,12.00595,1.335663,64,77
4.003254,2.997393,12.001659,1.335732,64,78
4.004328,2.998231,12.000088,1.335391,65,79
4.003523,2.998192,12.005033,1.334919,66,80
4.002405,2.998097,11.990324,1.334137,67,81
3.999499,2.998556,11.989906,1.334444,68,82
3.998024,2.997361,11.986197,1.333627,69,83
4.000125,2.997171,11.984123,1.334123,69,84
3.999007,2.997496,11.986578,1.334064,70,85
3.997889,2.99782,11.989032,1.334005,71,86
3.997487,2.998263,11.992489,1.333805,72,87
3.999007,2.997812,11.987221,1.333941,73,88
3.999588,2.998532,11.99654,1.334228,74,89
3.9978,2.998397,11.987176,1.333556,74,90
3.998649,2.99767,11.985579,1.333421,75,91
3.997263,2.997875,11.977956,1.332517,76,92
3.995028,2.997314,11.972534,1.332232,77,93
3.994313,2.998073,11.97698,1.333148,78,94
3.992658,2.997614,11.966328,1.332373,79,95
3.992792,2.997938,11.965054,1.332,80,96
3.992926,2.998263,11.96378,1.331628,80,97
3.992703,2.998326,11.980301,1.332431,81,98
3.994134,2.996886,11.975679,1.332135,82,99
3.993374,2.998247,11.972553,1.331962,83,100
3.993955,2.998002,11.972594,1.332139,84,101
3.992792,2.997535,11.97177,1.331917,84,102
3.991093,2.998184,11.963649,1.331546,85,103
3.990065,2.998018,11.962899,1.331248,86,104
3.991898,2.998334,11.96011,1.33109,87,105
3.989126,2.998801,11.957798,1.330926,88,106
3.988992,2.99814,11.957592,1.330578,88,107
3.988858,2.99748,11.957387,1.330231,89,108
3.987561,2.997314,11.962184,1.330512,90,109
3.988903,2.998445,11.957546,1.330907,91,110
