Voltage (V),Current (A),Power (W),Resistance (Ω),Capacity used (mAh),Discharge Time (s)
4.199624,0.0,0.0,0.0,0,-5
4.19873,0.0,0.0,0.0,0,-4
4.199713,0.0,0.0,0.0,0,-3
4.199042,0.0,0.0,0.0,0,-2
4.198685,0.0,0.0,0.0,0,-1
4.142662,3.000043,12.316946,1.367994,0,0
4.094777,3.000533,12.284682,1.365466,0,1
4.091558,2.999726,12.271519,1.363728,1,2
4.087892,2.999639,12.260007,1.362363,2,3
4.084672,2.999481,12.250606,1.361728,3,4
4.083734,3.000177,12.2454,1.360781,4,5
4.080962,3.000003,12.242473,1.360483,5,6
4.080336,2.999813,12.23842,1.359776,5,7
4.078905,3.000019,12.230189,1.359139,6,8
4.076937,3.000078,12.228762,1.358864,6,9
4.07497,3.000138,12.227335,1.358589,7,10
4.073226,2.999995,12.215861,1.357451,9,11
4.070455,3.000035,12.213924,1.356796,10,12
4.068219,2.999608,12.202621,1.356427,10,13
4.066609,2.999639,12.199644,1.35612,11,14
4.065134,3.000114,12.195266,1.355076,12,15
4.064061,3.000003,12.197965,1.355737,13,16
4.065894,2.999797,12.195312,1.354871,14,17
4.06111,2.999948,12.187528,1.354058,15,18
4.0612,3.000138,12.182463,1.353859,15,19
4.0612,2.999956,12.180964,1.353526,16,20
4.0612,2.999774,12.179466,1.353192,17,21
4.059769,3.000319,12.17077,1.35218,18,22
4.055119,2.999528,12.166068,1.351826,19,23
4.055163,2.999505,12.164856,1.351366,20,24
4.053599,2.999805,12.159456,1.350994,20,25
4.051408,2.99941,12.156251,1.35078,21,26
4.053688,2.999876,12.159645,1.351088,22,27
4.051989,3.000383,12.156595,1.350913,23,28
4.050737,2.999789,12.153195,1.350651,24,29
4.050916,2.999497,12.144588,1.350099,24,30
4.049731,2.999762,12.144906,1.3498,25,31
4.048546,3.000027,12.145224,1.349501,26,32
4.047339,2.999671,12.138039,1.34911,27,33
4.045327,2.999165,12.128922,1.34855,28,34
4.045327,2.999117,12.133558,1.348179,29,35
4.043494,2.999426,12.125725,1.348131,29,36
4.041438,2.998943,12.120873,1.34726,30,37
4.043315,2.999979,12.128399,1.347738,31,38
4.041884,2.999805,12.127646,1.347648,32,39
4.041303,2.999797,12.118856,1.34689,33,40
4.039783,3.000145,12.120768,1.346785,34,41
4.039716,2.999975,12.118612,1.346589,34,42
4.039649,2.999805,12.116455,1.346393,35,43
4.037011,2.999537,12.109799,1.346005,36,44
4.03719,2.999876,12.104724,1.345527,37,45
4.035759,2.999624,12.099909,1.345352,38,46
4.032585,3.00013,12.105188,1.345003,39,47
4.032406,2.999805,12.097908,1.344776,39,48
4.035401,3.000011,12.107417,1.34508,40,49
4.032406,2.999782,12.099103,1.344728,41,50
4.033658,2.999679,12.104753,1.344699,42,51
4.033434,2.999521,12.095541,1.343832,43,52
4.032338,2.999552,12.095566,1.343806,44,53
4.031243,2.999584,12.09559,1.34378,44,54
4.026996,2.999481,12.079421,1.342625,45,55
4.028024,2.999473,12.080577,1.342962,46,56
4.026549,2.999465,12.079833,1.342906,47,57
4.025565,2.999315,12.077694,1.342481,48,58
4.026772,2.999339,12.071057,1.342558,49,59
4.027219,2.999631,12.076962,1.342148,49,60
4.026012,2.999315,12.082766,1.342395,50,61
4.025565,2.999212,12.07372,1.341494,51,62
4.02409,2.999339,12.069496,1.341625,52,63
4.023777,2.999544,12.070559,1.34137,53,64
4.023464,2.99975,12.071622,1.341115,54,65
4.020379,2.9996,12.06061,1.340458,54,66
4.019842,2.998872,12.057971,1.340824,55,67
4.018546,2.998927,12.049903,1.340479,56,68
4.019842,2.999046,12.054571,1.339954,57,69
4.018948,2.998959,12.051213,1.340124,58,70
4.019663,2.999679,12.055317,1.340047,59,71
4.019485,2.999528,12.061,1.340215,59,72
4.019395,2.99922,12.054381,1.339779,60,73
4.019149,2.999193,12.053188,1.339507,61,74
4.018903,2.999165,12.051994,1.339234,62,75
4.016981,2.99922,12.039227,1.338885,63,76
4.01479,2.999497,12.046418,1.338986,64,77
4.014074,2.999671,12.040105,1.33913,64,78
4.013851,2.998761,12.033173,1.338131,65,79
4.012689,2.999275,12.038314,1.338209,66,80
4.012286,2.999346,12.042389,1.338419,67,81
4.014254,2.999157,12.042109,1.338214,68,82
4.012644,2.999774,12.038052,1.33807,69,83
4.012018,2.999268,12.035437,1.337848,69,84
4.011884,2.999556,12.036585,1.337776,70,85
4.01175,2.999845,12.037733,1.337705,71,86
4.010185,2.999576,12.026606,1.337011,72,87
4.009112,2.999647,12.02422,1.336502,73,88
4.007323,2.999101,12.028357,1.336342,74,89
4.006563,2.999046,12.023045,1.336493,74,90
4.006384,2.999196,12.020535,1.335837,75,91
4.010587,2.999323,12.024827,1.336556,76,92
4.008262,2.999426,12.024762,1.336459,77,93
4.009201,2.999252,12.026829,1.335794,78,94
4.007636,3.000193,12.020021,1.336408,79,95
4.007144,3.000066,12.018092,1.336102,80,96
4.006652,2.99994,12.016162,1.335795,80,97
4.005222,2.999125,12.013915,1.335147,81,98
4.004596,2.99926,12.011004,1.335004,82,99
4.00397,2.999394,12.008094,1.33486,83,100
4.002048,2.999339,12.005505,1.334864,84,101
4.002629,2.9999,12.000809,1.334135,84,102
4.004193,2.9996,12.005015,1.334843,85,103
4.003612,2.999449,12.009273,1.334494,86,104
4.001958,2.999141,12.006785,1.334889,87,105
4.002316,2.999979,12.010347,1.334108,88,106
4.002047,2.999564,12.006665,1.334142,88,107
4.001779,2.999149,12.002983,1.334177,89,108
3.999767,2.999133,11.996773,1.33376,90,109
3.999096,2.999022,11.993462,1.333066,91,110
3.997934,2.998848,11.994122,1.333672,92,111
3.998024,2.999244,11.989743,1.333007,93,112
3.999096,2.999196,11.99502,1.333106,94,113
3.998605,3.000058,11.997,1.333114,94,114
4.000214,2.999663,12.00028,1.333128,95,115
3.996772,2.999418,11.991664,1.333046,96,116
3.997912,2.99945,11.991382,1.332682,97,117
3.999052,2.999481,11.9911,1.332319,98,118
3.995877,2.999655,11.985615,1.332165,99,119
3.994581,2.999497,11.983349,1.332045,99,120
3.995743,2.999307,11.985527,1.331723,100,121
3.99458,2.999145,11.980631,1.331644,101,122
3.993418,2.998983,11.975735,1.331566,102,123
3.994804,2.999236,11.983827,1.3317,103,124
3.994357,2.99941,11.988402,1.331638,104,125
3.993597,2.999956,11.987414,1.331982,104,126
