Voltage (V),Current (A),Power (W),Resistance (Ω),Capacity used (mAh),Discharge Time (s)
4.179012,0.0,0.0,0.0,0,-5
4.180309,0.0,0.0,0.0,0,-4
4.18089,0.0,0.0,0.0,0,-3
4.180756,0.0,0.0,0.0,0,-2
4.18013,0.0,0.0,0.0,0,-1
4.163766,0.997391,4.138658,4.15966,0,0
4.146642,0.997003,4.136242,4.158119,0,1
4.146284,0.997169,4.133448,4.158402,0,2
4.144585,0.997462,4.13377,4.155684,0,3
4.142215,0.996742,4.129815,4.155968,1,4
4.141992,0.99732,4.133627,4.155353,1,5
4.14378,0.997501,4.13651,4.15223,1,6
4.144227,0.997517,4.133448,4.155106,1,7
4.141768,0.997707,4.131514,4.15226,2,8
4.141142,0.997644,4.130846,4.152184,2,9
4.141187,0.997569,4.129906,4.151796,2,10
4.141232,0.997494,4.128966,4.151409,3,11
4.138906,0.997177,4.126338,4.152407,3,12
4.137878,0.99694,4.125965,4.149687,3,13
4.135687,0.99743,4.128206,4.148118,3,14
4.137163,0.997486,4.125535,4.147919,4,15
4.136447,0.997652,4.12751,4.148218,4,16
4.136895,0.997549,4.127162,4.149979,4,17
4.138102,0.997644,4.129134,4.145494,4,18
4.135509,0.99781,4.128462,4.148569,5,19
4.136761,0.99728,4.126092,4.146626,5,20
4.137096,0.997375,4.124823,4.145958,6,21
4.137431,0.99747,4.123555,4.14529,6,22
4.132871,0.997438,4.125247,4.143722,6,23
4.132781,0.997098,4.118934,4.144484,6,24
4.133228,0.997478,4.121222,4.143931,6,25
4.131574,0.997074,4.121103,4.141585,7,26
4.131127,0.997549,4.121067,4.142204,7,27
4.132468,0.998024,4.124355,4.142426,7,28
4.133988,0.997936,4.12673,4.142346,8,29
4.133765,0.998134,4.123826,4.142855,8,30
4.130278,0.997517,4.120891,4.141723,8,31
4.131329,0.997556,4.121291,4.141827,8,32
4.132379,0.997596,4.121691,4.141931,9,33
4.128847,0.997138,4.118195,4.141646,9,34
4.12746,0.99732,4.117533,4.140539,9,35
4.12831,0.997327,4.119146,4.140273,9,36
4.129249,0.997509,4.118141,4.141192,10,37
4.127997,0.997407,4.118355,4.139975,10,38
4.130367,0.997438,4.120511,4.140531,10,39
4.130948,0.997723,4.119682,4.135966,11,40
4.129875,0.997699,4.119049,4.138051,11,41
4.128802,0.997628,4.121112,4.138017,11,42
4.1286,0.997584,4.120578,4.136606,12,43
4.128399,0.997541,4.120044,4.135196,12,44
4.125851,0.997549,4.115846,4.137089,12,45
4.12442,0.997145,4.112896,4.137268,12,46
4.126477,0.99709,4.114596,4.136754,13,47
4.124152,0.997383,4.112786,4.135098,13,48
4.123616,0.997066,4.112443,4.133212,13,49
4.126164,0.997683,4.117924,4.133738,13,50
4.126343,0.997573,4.112537,4.135889,14,51
4.12603,0.997375,4.118149,4.134816,14,52
4.12366,0.997486,4.114704,4.13636,14,53
4.12375,0.997577,4.114846,4.136024,14,54
4.123839,0.997668,4.114988,4.135689,15,55
4.1229,0.997407,4.110593,4.134724,15,56
4.121559,0.996908,4.110254,4.133873,15,57
4.121603,0.997074,4.110873,4.132703,16,58
4.120441,0.997209,4.108804,4.132464,16,59
4.12062,0.997035,4.107486,4.135605,16,60
4.123437,0.997383,4.111782,4.132622,16,61
4.123168,0.99709,4.111674,4.13302,17,62
4.123347,0.997248,4.110951,4.132013,17,63
4.120754,0.997818,4.112236,4.13274,17,64
4.121134,0.997688,4.11226,4.133238,18,65
4.121514,0.997557,4.112283,4.133736,18,66
4.119949,0.996774,4.106304,4.130429,18,67
4.120173,0.997074,4.107893,4.130893,18,68
4.118518,0.996805,4.104955,4.130907,19,69
4.118429,0.997193,4.108148,4.132649,19,70
4.117937,0.996948,4.106023,4.131602,19,71
4.119815,0.997414,4.110053,4.130381,19,72
4.120888,0.997581,4.110832,4.129237,20,73
4.118742,0.99747,4.108964,4.12967,20,74
4.119592,0.997193,4.108636,4.128125,20,75
4.117579,0.997557,4.106344,4.12867,21,76
4.118317,0.99728,4.10488,4.128526,21,77
4.119055,0.997003,4.103416,4.128383,21,78
4.115434,0.996853,4.104161,4.12892,21,79
4.11597,0.997138,4.104112,4.130971,22,80
4.115523,0.997217,4.103198,4.129067,22,81
4.115299,0.997248,4.104526,4.128788,22,82
4.116015,0.997327,4.107178,4.127459,22,83
4.117535,0.997414,4.10673,4.128262,23,84
4.11673,0.997691,4.108333,4.127714,23,85
4.116954,0.997944,4.106921,4.124709,23,86
4.115836,0.997557,4.107098,4.12513,24,87
4.115903,0.997561,4.105583,4.124662,24,88
4.11597,0.997565,4.104068,4.124193,24,89
4.11445,0.997343,4.103719,4.125483,24,90
4.111991,0.997193,4.101526,4.125341,25,91
4.114986,0.997066,4.102429,4.124597,25,92
4.113153,0.997043,4.10148,4.125184,25,93
4.112304,0.997454,4.105289,4.123245,26,94
4.116328,0.997612,4.106288,4.124542,26,95
4.114852,0.997905,4.106917,4.123019,26,96
4.11521,0.997778,4.10499,4.124884,26,97
4.115389,0.997763,4.105774,4.121691,27,98
4.114383,0.997818,4.104901,4.122562,27,99
4.113377,0.997873,4.104027,4.123432,27,100
4.112438,0.99728,4.10027,4.121894,27,101
4.113109,0.997201,4.102241,4.124596,28,102
4.111007,0.997312,4.100423,4.123863,28,103
4.111275,0.997138,4.098908,4.121104,28,104
4.111052,0.997367,4.102397,4.121719,29,105
4.112661,0.997723,4.104753,4.123044,29,106
4.11217,0.997873,4.10305,4.12128,29,107
4.112035,0.99796,4.102614,4.121315,29,108
4.111812,0.99724,4.104092,4.120759,30,109
4.111365,0.997616,4.103408,4.122074,30,110
4.110918,0.997992,4.102724,4.12339,30,111
4.109711,0.997375,4.097565,4.121683,31,112
4.109487,0.997098,4.097315,4.120322,31,113
4.110381,0.997232,4.097549,4.1215,31,114
4.109129,0.997557,4.099346,4.119464,31,115
4.10904,0.99724,4.098475,4.120256,32,116
4.107341,0.997399,4.099704,4.119915,32,117
4.111722,0.997557,4.104038,4.119096,32,118
4.110113,0.997897,4.10012,4.118241,32,119
4.109263,0.997573,4.101196,4.119802,33,120
4.111454,0.997944,4.105201,4.120102,33,121
4.11094,0.997719,4.101182,4.119227,34,122
4.110426,0.997494,4.097163,4.118352,34,123
4.108369,0.997573,4.09737,4.119829,34,124
4.10676,0.997391,4.095873,4.117923,34,125
4.106402,0.997232,4.09765,4.115313,34,126
4.105865,0.997217,4.095881,4.117307,35,127
4.106357,0.997114,4.094997,4.116154,35,128
4.108414,0.998269,4.100769,4.115681,35,129
4.107698,0.997755,4.100061,4.117527,36,130
4.109085,0.997644,4.100221,4.118117,36,131
4.108325,0.997644,4.099084,4.118844,36,132
4.10828,0.997778,4.09828,4.118161,36,133
4.108235,0.997913,4.097477,4.117478,37,134
4.105687,0.997177,4.093554,4.115677,37,135
4.104793,0.996971,4.091794,4.118022,37,136
4.104703,0.997335,4.095262,4.116291,37,137
4.104971,0.997604,4.094573,4.115184,38,138
4.104703,0.99732,4.094041,4.115225,38,139
4.103451,0.997185,4.095278,4.115391,38,140
4.106402,0.997826,4.099052,4.117201,39,141
4.105597,0.998047,4.094736,4.115554,39,142
4.10591,0.997968,4.098038,4.115425,39,143
4.106223,0.997683,4.094914,4.114148,39,144
4.105374,0.997624,4.094808,4.114156,40,145
4.104524,0.997565,4.094703,4.114165,40,146
4.103228,0.997351,4.092363,4.113611,40,147
4.103093,0.998055,4.095089,4.114533,41,148
4.103853,0.997327,4.09306,4.114626,41,149
4.102646,0.996971,4.093417,4.114614,41,150
4.102646,0.997747,4.092006,4.111105,41,151
4.106492,0.997399,4.09439,4.113019,42,152
4.105508,0.997549,4.093673,4.114336,42,153
4.103809,0.998047,4.09771,4.111219,42,154
4.103496,0.997763,4.09558,4.112824,42,155
4.104032,0.997842,4.095938,4.112449,42,156
4.104569,0.997921,4.096297,4.112074,43,157
4.101663,0.997644,4.089525,4.110449,43,158
4.099338,0.997588,4.089375,4.114,44,159
4.100769,0.997304,4.091394,4.112026,44,160
4.10059,0.997383,4.091017,4.112989,44,161
4.102065,0.997683,4.091123,4.109989,44,162
4.101886,0.997802,4.094035,4.111691,45,163
4.101931,0.997691,4.093389,4.111888,45,164
4.101305,0.997612,4.091537,4.113102,45,165
4.101707,0.997747,4.091504,4.111639,46,166
4.102333,0.997533,4.093073,4.112226,46,167
4.101462,0.997688,4.091539,4.110896,46,168
4.10059,0.997842,4.090004,4.109565,46,169
4.100098,0.997327,4.088629,4.111313,47,170
4.100366,0.997232,4.089716,4.110082,47,171
4.099159,0.997145,4.090685,4.109883,47,172
4.100008,0.997446,4.090076,4.109475,47,173
4.097549,0.997992,4.094606,4.109721,48,174
4.101752,0.998324,4.092157,4.107652,48,175
4.10126,0.998071,4.092298,4.110026,48,176
4.099472,0.997976,4.091613,4.110278,49,177
4.099293,0.997588,4.089659,4.10825,49,178
4.099784,0.997826,4.090751,4.109388,49,179
4.100276,0.998063,4.091844,4.110527,49,180
4.098488,0.997786,4.085217,4.108721,50,181
4.096968,0.997296,4.084714,4.1093,50,182
