Voltage (V),Current (A),Power (W),Resistance (Ω),Capacity used (mAh),Discharge Time (s)
4.18554,0.0,0.0,0.0,0,-5
4.184154,0.0,0.0,0.0,0,-4
4.185271,0.0,0.0,0.0,0,-3
4.186166,0.0,0.0,0.0,0,-2
4.184869,0.0,0.0,0.0,0,-1
4.097057,6.55921,29.609615,0.526739,0,0
3.926978,7.496887,29.436245,0.523669,2,1
3.917097,7.49699,29.348978,0.522091,4,2
3.908736,7.497014,29.311836,0.521365,6,3
3.901851,7.496919,29.249409,0.52043,8,4
3.897469,7.496974,29.203506,0.519729,10,5
3.891925,7.497172,29.183535,0.519051,12,6
3.888617,7.497868,29.146706,0.518627,14,7
3.88352,7.49752,29.128534,0.518136,16,8
3.879406,7.498066,29.094711,0.517408,18,9
3.875919,7.497718,29.047993,0.516829,20,10
3.873594,7.497548,29.033487,0.516531,22,11
3.871269,7.497378,29.01898,0.516234,24,12
3.867916,7.497251,28.988256,0.515949,27,13
3.863668,7.49714,28.971371,0.515331,29,14
3.859107,7.497544,28.942299,0.5148,31,15
3.857766,7.497916,28.907103,0.514765,33,16
3.856112,7.498058,28.909693,0.514301,35,17
3.852848,7.497148,28.898783,0.513998,37,18
3.851552,7.498382,28.877876,0.513678,39,19
3.848824,7.497892,28.852184,0.51333,41,20
3.845873,7.498113,28.844927,0.512891,43,21
3.843996,7.497982,28.828399,0.512647,45,22
3.842118,7.497852,28.811871,0.512403,47,23
3.840061,7.497631,28.787634,0.512129,49,24
3.838809,7.497536,28.771126,0.511837,52,25
3.835411,7.497473,28.758207,0.511656,54,26
3.834114,7.498026,28.736002,0.511512,56,27
3.832728,7.497734,28.742348,0.511222,58,28
3.830627,7.498493,28.730742,0.511057,60,29
3.830359,7.497647,28.716599,0.510765,62,30
3.827452,7.49809,28.699331,0.510396,64,31
3.825664,7.497797,28.692783,0.510216,66,32
3.824278,7.497429,28.678014,0.51004,68,33
3.822892,7.497061,28.663246,0.509863,70,34
3.82088,7.498097,28.656515,0.509647,72,35
3.819852,7.497061,28.637531,0.509492,74,36
3.818197,7.49767,28.637819,0.509408,77,37
3.815917,7.497789,28.614773,0.509164,79,38
3.817705,7.497892,28.621515,0.509097,81,39
3.81471,7.49854,28.599127,0.508771,83,40
3.81319,7.497947,28.596149,0.508458,85,41
3.812698,7.497734,28.58779,0.508325,87,42
3.811491,7.498556,28.585215,0.508258,89,43
3.809814,7.498102,28.567303,0.508076,91,44
3.808137,7.497647,28.549391,0.507893,93,45
3.806483,7.497196,28.534889,0.507755,95,46
3.805231,7.497362,28.537045,0.507374,97,47
3.804024,7.498003,28.52495,0.507267,99,48
3.802414,7.497488,28.520494,0.507244,102,49
3.80389,7.498113,28.525265,0.507459,104,50
3.80228,7.498398,28.516367,0.507077,106,51
3.80237,7.498168,28.505445,0.507073,108,52
3.801565,7.49805,28.492577,0.506908,110,53
3.80076,7.498454,28.490547,0.506641,112,54
3.800067,7.497892,28.482566,0.506531,114,55
3.799374,7.49733,28.474586,0.506421,116,56
3.79544,7.497742,28.461012,0.506286,118,57
