Voltage (V),Current (A),Power (W),Resistance (Ω),Capacity used (mAh),Discharge Time (s)
4.197969,0.0,0.0,0.0,0,-5
4.198148,0.0,0.0,0.0,0,-4
4.198864,0.0,0.0,0.0,0,-3
4.19864,0.0,0.0,0.0,0,-2
4.198819,0.0,0.0,0.0,0,-1
4.097505,7.499577,29.771557,0.529317,0,0
3.950317,7.49998,29.626904,0.52662,2,1
3.940749,7.499268,29.538137,0.52518,4,2
3.931941,7.500028,29.49172,0.524221,6,3
3.923223,7.49911,29.424774,0.523252,8,4
3.916695,7.499537,29.386711,0.522422,10,5
3.911598,7.499529,29.335024,0.521673,12,6
3.908647,7.498643,29.30776,0.521151,14,7
3.902343,7.499173,29.264761,0.520282,16,8
3.901248,7.499264,29.259648,0.520166,18,9
3.900152,7.499355,29.254536,0.520051,20,10
3.896307,7.4993,29.216955,0.51964,22,11
3.89121,7.499363,29.195517,0.518841,24,12
3.8896,7.49979,29.170118,0.518441,27,13
3.885174,7.500194,29.137697,0.518087,29,14
3.879809,7.499237,29.095657,0.517368,31,15
3.877171,7.498754,29.074102,0.517062,33,16
3.873728,7.499553,29.055099,0.516532,35,17
3.871269,7.499134,29.021595,0.516118,37,18
3.868005,7.498754,29.006712,0.515737,39,19
3.867782,7.499031,29.00681,0.515759,41,20
3.867558,7.499308,29.006907,0.515782,43,21
3.863936,7.500012,28.99218,0.515397,45,22
3.863176,7.499577,28.967609,0.51493,47,23
3.859465,7.499094,28.949932,0.514654,49,24
3.857095,7.498873,28.931917,0.514145,52,25
3.852714,7.499086,28.892292,0.513731,54,26
3.851328,7.499213,28.872692,0.51339,56,27
3.849226,7.498556,28.860441,0.513046,58,28
3.847483,7.49896,28.83423,0.512748,60,29
3.842878,7.498983,28.826241,0.512862,62,30
3.843638,7.499027,28.827916,0.512752,64,31
3.844398,7.499071,28.82959,0.512641,66,32
3.842386,7.499189,28.813074,0.512191,68,33
3.839792,7.49934,28.802795,0.512301,70,34
3.83939,7.499221,28.787741,0.512066,72,35
3.836842,7.49877,28.779762,0.511593,74,36
3.833801,7.498525,28.750101,0.511158,77,37
3.831476,7.49839,28.726728,0.510998,79,38
3.83085,7.498271,28.72777,0.510812,81,39
3.829688,7.498723,28.698246,0.510513,83,40
3.826558,7.498857,28.704334,0.510303,85,41
3.827206,7.498956,28.706809,0.510436,86,42
3.827855,7.499054,28.709284,0.51057,87,43
3.826335,7.498936,28.692759,0.510264,91,44
3.82544,7.499221,28.686953,0.510096,93,45
3.823294,7.498691,28.689854,0.509855,95,46
3.8224,7.499743,28.673254,0.509831,97,47
3.818957,7.498635,28.650978,0.509316,99,48
3.817795,7.498382,28.627571,0.509129,102,49
3.816767,7.498485,28.621861,0.508874,104,50
3.816006,7.498485,28.612329,0.508915,106,51
3.814129,7.498414,28.602295,0.50874,108,52
3.814532,7.49892,28.608383,0.508795,109,53
3.814934,7.499426,28.614471,0.508849,110,54
3.814173,7.499228,28.611271,0.508704,114,55
3.815068,7.498454,28.589029,0.508583,116,56
3.811401,7.499149,28.595507,0.508253,118,57
3.810865,7.499569,28.588911,0.508096,120,58
3.80854,7.49843,28.553892,0.507883,122,59
