Voltage (V),Current (A),Power (W),Resistance (Ω),Capacity used (mAh),Discharge Time (s)
4.17767,0.0,0.0,0.0,0,-5
4.177447,0.0,0.0,0.0,0,-4
4.177269,0.0,0.0,0.0,0,-3
4.175614,0.0,0.0,0.0,0,-2
4.17776,0.0,0.0,0.0,0,-1
4.128221,2.999323,12.248459,1.361665,0,0
4.073674,2.997796,12.204168,1.35827,0,1
4.069337,2.997535,12.196973,1.356943,1,2
4.063211,2.9971,12.183071,1.354981,2,3
4.061334,2.995914,12.171593,1.354448,3,4
4.058875,2.996459,12.167697,1.353992,4,5
4.056416,2.997203,12.158745,1.352818,4,6
4.056013,2.998184,12.151102,1.352093,5,7
4.051095,2.998041,12.15724,1.351829,6,8
4.052079,2.997409,12.15242,1.351247,7,9
4.051408,2.99801,12.146784,1.351244,8,10
4.050737,2.998611,12.141149,1.35124,9,11
4.049038,2.997907,12.140197,1.35052,9,12
4.045685,2.997772,12.121635,1.350212,10,13
4.044165,2.996602,12.125212,1.349392,11,14
4.04412,2.998121,12.122163,1.347706,12,15
4.042198,2.997464,12.114708,1.347556,13,16
4.040678,2.998651,12.115097,1.347779,14,17
4.038576,2.997693,12.105534,1.346324,14,18
4.038263,2.998397,12.108377,1.346715,15,19
4.038263,2.997037,12.106386,1.347084,16,20
4.037883,2.997848,12.104332,1.34671,17,21
4.037503,2.998658,12.102277,1.346337,18,22
4.036117,2.996262,12.104334,1.346077,19,23
4.033434,2.99695,12.097623,1.345872,19,24
4.030438,2.998397,12.082493,1.345278,20,25
4.029321,2.997915,12.080936,1.344962,21,26
4.029813,2.997598,12.080875,1.344468,22,27
4.02865,2.997701,12.06725,1.343932,23,28
4.027577,2.997567,12.073091,1.34375,24,29
4.025342,2.997124,12.077519,1.343447,24,30
4.027264,2.999228,12.078741,1.342949,25,31
4.024403,2.998255,12.07093,1.343231,26,32
4.024381,2.997638,12.067353,1.342437,27,33
4.024358,2.997021,12.063776,1.341643,28,34
4.024716,2.99729,12.063854,1.34167,29,35
4.023732,2.99729,12.051343,1.341109,29,36
4.020334,2.997583,12.047585,1.34091,30,37
4.019663,2.998556,12.053212,1.340892,31,38
4.018993,2.998698,12.048155,1.340543,32,39
4.018635,2.996697,12.042201,1.339928,33,40
4.017652,2.998564,12.040036,1.339284,34,41
4.017964,2.99854,12.047449,1.339818,34,42
4.01868,2.997662,12.046897,1.340454,35,43
4.017271,2.998338,12.047262,1.340305,36,44
4.015863,2.999014,12.047626,1.340156,37,45
4.015818,2.997962,12.034224,1.339323,38,46
4.014656,2.997353,12.040663,1.339603,39,47
4.012599,2.997844,12.031261,1.339002,39,48
4.010855,2.997788,12.030219,1.339005,40,49
4.011258,2.998184,12.016771,1.338472,41,50
4.009827,2.996634,12.02754,1.337845,42,51
4.010766,2.997654,12.026735,1.337579,43,52
4.011258,2.999157,12.028387,1.337668,44,53
4.011526,2.997393,12.021094,1.336686,44,54
4.010409,2.998113,12.02032,1.337145,45,55
4.009291,2.998832,12.019545,1.337604,46,56
4.007949,2.997369,12.0138,1.337124,47,57
4.007994,2.996989,12.02006,1.336037,48,58
4.00701,2.998888,12.006239,1.336736,49,59
4.004953,2.995866,12.00757,1.335518,49,60
4.004328,2.997187,12.010153,1.336566,50,61
4.003254,2.99714,11.999322,1.336147,51,62
4.003925,2.999125,11.995436,1.334985,52,63
4.003254,2.996886,11.99836,1.335527,53,64
4.003836,2.998461,11.99832,1.335127,54,65
4.003635,2.998058,12.001628,1.335295,54,66
4.003433,2.997654,12.004937,1.335463,55,67
4.002539,2.998018,11.995624,1.334275,56,68
4.002092,2.99831,11.997376,1.33455,57,69
3.999544,2.995708,11.980884,1.333925,58,70
3.99932,2.997804,11.983052,1.333668,59,71
3.998471,2.997725,11.987714,1.333524,59,72
3.997755,2.997788,11.98785,1.333182,60,73
3.996772,2.998255,11.981391,1.333151,61,74
3.998515,2.99657,11.981387,1.333041,62,75
3.9978,2.997037,11.98368,1.333545,63,76
3.997152,2.997559,11.985812,1.33354,64,77
3.996503,2.998081,11.987945,1.333534,64,78
3.997263,2.997709,11.983078,1.333791,65,79
3.996593,2.997606,11.978601,1.333312,66,80
3.995117,2.996705,11.974804,1.331705,67,81
3.994044,2.997116,11.97051,1.331947,68,82
3.992971,2.999109,11.981653,1.331663,69,83
3.993686,2.998113,11.976429,1.331026,69,84
3.992211,2.998026,11.9602,1.331391,70,85
3.991272,2.997061,11.967211,1.331716,71,86
3.993821,2.998927,11.967725,1.331868,72,87
3.993418,2.999066,11.973146,1.331424,72,88
3.993016,2.999204,11.978567,1.33098,73,89
3.99163,2.997013,11.96586,1.331949,74,90
3.992837,2.995732,11.963371,1.331649,75,91
3.992032,2.998999,11.973655,1.330906,76,92
3.988053,2.997923,11.959106,1.330432,77,93
3.988992,2.998532,11.951258,1.331649,78,94
3.988276,2.996127,11.946476,1.330829,79,95
3.988455,2.998113,11.955133,1.33015,79,96
3.987695,2.998706,11.962729,1.330958,80,97
3.989215,2.999497,11.964251,1.330325,81,98
3.988657,2.998089,11.958828,1.330256,82,99
3.988098,2.996681,11.953406,1.330187,82,100
3.989081,2.99695,11.95349,1.331021,84,101
3.987874,2.996863,11.952209,1.329674,84,102
3.987963,2.997725,11.956057,1.330161,85,103
3.985192,2.998864,11.946972,1.328854,86,104
3.984834,2.998279,11.941566,1.329746,87,105
3.983895,2.998287,11.939334,1.329567,88,106
3.983314,2.997211,11.943344,1.328865,89,107
3.982956,2.997076,11.942972,1.328643,89,108
3.982911,2.998429,11.944607,1.32856,90,109
3.983135,2.998927,11.943835,1.328842,91,110
3.983246,2.998836,11.943542,1.328819,92,111
3.983358,2.998745,11.94325,1.328795,93,112
3.983492,2.998342,11.939729,1.328672,94,113
3.983135,2.997891,11.945589,1.328705,94,114
3.981793,2.99782,11.940083,1.327822,95,115
3.982151,2.997852,11.936135,1.328334,96,116
3.980541,2.998429,11.931326,1.328127,97,117
3.978932,2.998959,11.935258,1.327483,98,118
3.978664,2.998777,11.926922,1.327873,99,119
3.978127,2.997852,11.93292,1.327047,99,120
3.979647,2.997804,11.926519,1.327986,100,121
3.978977,2.99767,11.927419,1.32845,101,122
3.9792,2.998117,11.932158,1.328088,102,123
3.979424,2.998564,11.936896,1.327725,103,124
3.979826,2.996705,11.933012,1.327469,104,125
3.979156,2.998666,11.931315,1.326657,104,126
3.977367,2.999212,11.921881,1.327056,105,127
3.975892,2.998484,11.922867,1.326573,106,128
3.978619,2.998121,11.916577,1.32734,107,129
3.975534,2.996792,11.920465,1.326478,108,130
3.974998,2.997939,11.917888,1.325529,109,131
3.974506,2.99884,11.923656,1.32615,109,132
3.975445,2.996792,11.915699,1.326998,110,133
3.976004,2.997856,11.916778,1.326868,111,134
3.976562,2.998919,11.917857,1.326737,112,135
3.97692,2.998421,11.915482,1.326646,113,136
3.974327,2.997543,11.919468,1.325168,114,137
3.975087,2.996673,11.914024,1.325605,114,138
3.975266,2.998777,11.90953,1.325317,115,139
3.972494,2.997432,11.912402,1.32568,116,140
3.973254,2.997867,11.913837,1.324377,117,141
3.971689,2.998192,11.908807,1.325141,118,142
3.972494,2.998904,11.911621,1.326201,119,143
3.974282,2.998816,11.915063,1.325529,119,144
3.973835,2.99833,11.914047,1.32558,120,145
3.973388,2.997844,11.913032,1.325632,120,146
3.972851,2.997559,11.904808,1.324853,122,147
3.972583,2.998081,11.914183,1.324535,123,148
3.973075,2.997108,11.897817,1.324222,124,149
3.971599,2.997345,11.893153,1.324982,124,150
3.970303,2.996349,11.903066,1.324132,125,151
3.969722,2.996634,11.896619,1.324422,126,152
3.96923,2.997504,11.902359,1.324255,127,153
3.96914,2.996491,11.900941,1.325144,128,154
3.970839,2.997084,11.901769,1.324241,129,155
3.969096,2.997037,11.896186,1.324661,129,156
3.96923,2.9971,11.904156,1.324197,130,157
3.969364,2.997163,11.912126,1.323733,131,158
3.968827,2.998176,11.901176,1.324365,132,159
3.968827,2.998176,11.902764,1.32384,133,160
3.967889,2.997709,11.886631,1.323441,134,161
3.967665,2.998208,11.900978,1.323177,134,162
3.966815,2.997282,11.894342,1.322931,135,163
3.96762,2.997266,11.889217,1.323671,136,164
3.965742,2.996404,11.893643,1.32261,137,165
3.967799,2.996056,11.891981,1.323279,138,166
3.967531,2.997907,11.900675,1.323369,139,167
3.967688,2.997674,11.897986,1.323397,140,168
3.967844,2.99744,11.895296,1.323425,140,169
3.967441,2.998065,11.894408,1.323784,141,170
3.967352,2.998287,11.895432,1.323812,142,171
3.966055,2.999829,11.892447,1.322676,143,172
3.965385,2.997828,11.888205,1.322925,144,173
3.964401,2.997361,11.882725,1.323199,144,174
3.963865,2.996586,11.879989,1.322433,145,175
3.964714,2.99691,11.884783,1.322567,146,176
3.964401,2.998643,11.890346,1.322292,147,177
3.965966,2.997591,11.891529,1.322463,148,178
3.965608,2.99752,11.89067,1.322547,148,179
3.96525,2.997448,11.889811,1.322631,149,180
3.962657,2.997496,11.890917,1.322864,150,181
3.964356,2.997559,11.885204,1.322038,151,182
3.963328,2.997638,11.884563,1.321713,152,183
3.963015,2.997464,11.882833,1.321123,153,184
3.96154,2.997258,11.874194,1.322271,154,185
3.961763,2.996665,11.880472,1.321429,154,186
3.961584,2.997322,11.86459,1.322463,155,187
3.961808,2.999085,11.880555,1.322454,156,188
3.96297,2.99744,11.876733,1.321761,157,189
